 WB 220   KGL7389XR-WY      ABV202410201425202410201925                                                202410200646                                      U                        
 WB 210   KGL7389XR-WG      BZV202410231035202410231240                        202410230651                                                              U                        
 WB 210   KGL7389XR-WG      BZV202410231035202410231240                                                202410230707                                      U                        
 WB 434   KGLCRJ9XR-WI      EBB202410230640202410230740                                                            202410230710                          U                        
 WB9315   SHJ7389XR-WW      KGL202410020700202410021300                        202410020712                                                              U                        
 WB 434   KGLCRJ9XR-WI      EBB202410230640202410230740                                    202410230719                                                  U                        
 WB9315   SHJ7389XR-WW      KGL202410020700202410021300                                                202410020728                                      U                        
 WB 216   KGL7389XR-WR      LBV202410231050202410231230                                                            202410230743                          U                        
 WB 216   KGL7389XR-WR      LBV202410231050202410231230                                    202410230751                                                  U                        
 WB 435   EBBCRJ9XR-WI      KGL202410230810202410230910                        202410230753                                                              U                        
 WB 435   EBBCRJ9XR-WI      KGL202410230810202410230910                                                202410230808                                      U                        
 WB 216   KGL7389XR-WR      LBV202410231050202410231230                        202410230843                                                              U                        
 WB 435   EBBCRJ9XR-WI      KGL202410230810202410230910                                                            202410230843                          U                        
 WB 216   KGL7389XR-WR      LBV202410231050202410231230                                                202410230848                                      U                        
 WB 435   EBBCRJ9XR-WI      KGL202410230810202410230910                                    202410230856                                                  U                        
 WB 210   KGL7389XR-WG      BZV202410231035202410231240                                                            202410230919                          U                        
 WB 108   KGL73G9XR-WK      JNB202410230750202410231150                        202410230952                                                              U                        
 WB 108   KGL73G9XR-WK      JNB202410230750202410231150                                                202410231008                                      U                        
